,original_title,overview,region_final,release_date,genre_final,cast_final,director
10,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",United States of America,2006-06-28,Adventure,"['Superman / Clark Kent', 'Lex Luthor', 'Lois Lane', 'Richard White', 'Kitty Kowalski', 'Perry White', 'Jimmy Olsen', 'Martha Kent', 'Jor-El', 'Stanford', 'Jason White', 'Brutus', 'Riley', 'Grant', 'Bo the Bartender', 'Gertrude Vanderworth', 'Boy with Camera', 'Little Girl']",
11,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",United Kingdom,2008-10-30,Adventure,"['James Bond', 'Camille Montes', 'Dominic Greene', 'M', 'René Mathis', 'Strawberry Fields', 'Felix Leiter', 'Gregg Beam', 'Mr. White', 'Elvis', 'Tanner', 'Foreign Secretary', 'General Medrano', 'Henry Mitchell', 'Guy Haines', 'Corinne Veneau', 'Gemma', 'Monsieur Slate', 'Perla de las Dunas Receptionist', 'Anna', 'Quantum Member', 'MI6 Agent', 'Ocean Sky Receptionist', 'MI6 Agent (uncredited)', 'MI6 Agent (uncredited)', 'Quantum Member', 'Mario Cavaradossi', 'Spoletta', 'Colonel of Police', 'Lt. Orso', 'Yusef', 'Forensics Tech']",
12,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jamaica,2006-06-20,Adventure,"['Captain Jack Sparrow', 'Will Turner', 'Elizabeth Swann', 'William ""Bootstrap Bill"" Turner', 'Captain Davy Jones', 'James Norrington', 'Joshamee Gibbs', 'Governor Weatherby Swann', 'Pintel', 'Ragetti', 'Lord Cutler Beckett', 'Tia Dalma', 'Cotton', 'Marty', 'Ian Mercer', 'Captain Bellamy', 'Captain Hector Barbossa', 'Maccus', 'Clanker', 'Koleniko', 'Headless', 'Jimmy Legs', 'Ogilvey', 'Burser', 'Burser - Edinburgh', 'Quartermaster - Edinburgh', 'Scarlet', 'Giselle', 'Frightened Sailor', 'Black Pearl Pirate', 'Ho-Kwan', 'Penrod (uncredited)', ""Cotton's Parrot (voice)""]",
13,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",United States of America,2013-07-03,Action,"['Tonto', 'John Reid / The Lone Ranger', 'Butch Cavendish', 'Red Harrington', 'Dan Reid', 'Latham Cole', 'Rebecca Reid', 'Captain Jay Fuller', 'Barret', 'Will', 'Skinny', 'Collins', 'Frank', 'Ray', 'Stache', 'Red Knee', 'Chief Big Bear', 'Soldier #1', 'Soldier #3', 'Saloon Guy (uncredited)', 'Danny', 'Wendell', 'Jesus', 'Fritz', 'Blaine', 'Clayton', 'Martin', 'Navarro', 'Hollis', 'Habberman', 'Shareholder', 'Shareholder', 'Engineer', 'Homer', 'Young Cavendish', 'Young Cole', 'Telegraph Operator', 'Preacher', 'Kai', 'Fat Lady', 'Pilar', 'Rosalie', ""Dancer (Red's)"", ""Dancer (Red's)"", ""Dancer (Red's)"", ""Dancer (Red's)"", ""Dancer (Red's)"", ""Dancer (Red's)"", 'Pawing Drunk', 'Mob Member', 'Mob Member', 'Glenda', 'Stove Pipe', 'Grizzled Soldier', 'Soldier #4', 'Farmer', ""Band at Red's"", ""Band at Red's"", ""Band at Red's"", ""Band at Red's""]",
14,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",United Kingdom,2013-06-12,Action,"['Clark Kent / Kal-El', 'Lois Lane', 'General Zod', 'Jonathan Kent', 'Martha Kent', 'Jor-El', 'Perry White', 'Faora-Ul', 'Colonel Hardy', 'Lana Lang', 'Emerson', 'Lara Lor-Van', 'Dr. Emil Hamilton', 'Clark Kent at 13', 'Steve Lombard', 'Kelor (voice)', 'Tor-An', 'Jax-Ur', 'Lor-Em', 'Ro-Zar', 'Car-Vex', 'Jenny', 'Major Carrie Farris', 'Major Laramore', 'Heraldson', 'Byrne', 'Officer Sekowsky', 'Teenage Pete Ross', 'Whitney Fordman', 'General Swanwick', 'Student', 'Bar Buddy', 'Rubble Survivor (uncredited)']",
15,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Czech Republic,2008-05-15,Adventure,"['Prince Caspian', 'Peter Pevensie', 'Susan Pevensie', 'Edmund Pevensie', 'Lucy Pevensie', 'King Miraz', 'Queen Prunaprismia', 'Trumpkin', 'Nikabrik', 'Doktor Cornelius', 'Lord Glozell', 'Lord Sopespian', 'Lord Scythley', 'Lord Donnon', 'Asterius', 'Glenstorm', 'Aslan (voice)', 'Trüffeljäger', 'White Witch', 'Reepicheep', 'Hag']",
16,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",United States of America,2012-04-25,Science Fiction,"['Tony Stark / Iron Man', 'Steve Rogers / Captain America', 'Bruce Banner / The Hulk', 'Thor Odinson', 'Natasha Romanoff / Black Widow', 'Clint Barton / Hawkeye', 'Loki', 'Agent Phil Coulson', 'Agent Maria Hill', 'Erik Selvig', 'Director Nick Fury', 'Virginia ""Pepper"" Potts', 'J.A.R.V.I.S. (voice)', 'World Security Council', 'Shield Pilot', 'World Security Council', 'Old Man in TV Report', 'World Security Council', 'World Security Council', 'Waitress', 'Security Guard', 'Carrier Bridge Techs', 'Gala Scientist', 'Celebration Montage Interviewee', 'Tall Thug', 'Georgi Luchkov', 'Agent Jasper Sitwell', 'The Other', 'Senator Boynton', 'Young Cop', 'Thanos / The Mad Titan (Uncredited)', 'NASA Scientist', 'Weaselly Thug', 'Young Girl', 'Calcutta Woman', 'Carrier BridgeTechs', 'Carrier BridgeTechs', 'German Old Man', 'Maintenance Guy', 'Japanese Family', 'Japanese Family', 'Japanese Family', 'Police Sergeant', 'Office Woman', 'News Reporter', 'News Reporter', 'Faceless Pilot', 'Celebration Montage Interviewee', 'Celebration Montage Interviewee', 'Celebration Montage Interviewee', 'Shawna Lynde', 'Himself', 'Himself', 'Woman in Restaurant (uncredited)', 'German Pedestrian (uncredited)', 'Lentil Merchant (uncredited)', 'S.H.I.E.L.D. Agent (uncredited)', 'Celebration Montage Man Shaving Beard (uncredited)', 'Gala Guest (uncredited)', 'Museum Gala Patron (uncredited)', 'Stuttgart Biergarten patron (uncredited)', 'S.H.I.E.L.D. Guard (uncredited)', 'Gala Guest (uncredited)', 'Soldier (uncredited)', 'Museum Gala Guest (uncredited)', 'Captain Putz (uncredited)', 'The Hulk (voice) (uncredited)', 'Pedestrian (uncredited)', 'Stuttgart Citizen (uncredited)', 'S.H.I.E.L.D. Agent (uncredited)', 'Museum Gala Patron (uncredited)', 'Mercenary (uncredited)', 'Pedestrian (uncredited)', 'S.H.I.E.L.D. Agent (uncredited)', 'Stuttgart Citizen (uncredited)', 'Hostage (uncredited)', 'Limo Driver (uncredited)', 'Helicarrier Medical Team Leader (uncredited)', 'Stuttgart Driver (uncredited)', 'Civilian (uncredited)', 'Cafe Patron (uncredited)', 'Guard (uncredited)', 'Waitress (uncredited)', 'Gala Museum Patron (uncredited)', 'Extra (uncredited)', 'New York City Pedestrian (uncredited)', 'S.H.I.E.L.D. Agent (uncredited)', 'New York Pedestrian (uncredited)', 'Shiel Employee (uncredited)', 'Museum Gala Guest (uncredited)', 'Extra (uncredited)', 'Helicarrier Shield Agent (uncredited)', 'S.H.I.EL.D Agent - Loki Escort (uncredited)', 'S.H.I.E.L.D. Agent (uncredited)', 'Stuttgart Gala Patron (uncredited)', 'S.H.E.I.L.D. Agent (uncredited)', 'Restaurant Patron (uncredited)', 'New York City Police Officer (uncredited)', 'New York Police Officer in Firefight (uncredited)', 'Stuttgart Beer Garden Patron (uncredited)', 'Lab Tech (uncredited)', 'Museum Gala Patron (uncredited)', 'S.H.I.E.L.D. Agent #4 (uncredited)', 'Gala Patron (uncredited)', 'S.H.I.E.L.D. Agent (uncredited)', 'Pedestrian (uncredited)', 'Mercenary (uncredited)', 'Child on News #1 (uncredited)', 'Running Pedestrian (uncredited)', 'Sweeper (uncredited)', 'Barbershop (uncredited)', 'Tourist (uncredited)', 'Gala Guest (uncredited)', 'S.H.I.E.L.D agent (uncredited)', 'NYC Pedestrian (uncredited)']",
17,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",United States of America,2011-05-14,Adventure,"['Captain Jack Sparrow', 'Angelica Teach', 'Captain Edward ""Blackbeard"" Teach', 'Joshamee Gibbs', 'Captain Hector Barbossa', 'Philip Swift', 'Syrena', 'Scrum', 'Lieutenant Theodore Groves', 'Lieutenant Gillette', 'The Spaniard', 'King George II', 'Captain Teague Sparrow', 'Tamara', 'High Society Lady', 'Quartermaster', 'Cabin Boy', 'Ezekiel', 'Garheng', 'Purser', 'Cook', 'Master-at-Arms', 'Gunner', 'King Ferdinand of the Spanish Empire', 'John Carteret', 'Prime Minister Henry Pelham', 'Salaman', 'Derrick', 'Yeoman', 'Justice Smith', 'Captain of the Guard', 'English Girl', 'Mermaid', ""Queen Anne's Pirate (uncredited)"", 'British Sailor (uncredited)']",
18,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",United States of America,2012-05-23,Action,"['Agent J', 'Agent K', 'Young Agent K', 'Griffin', 'Agent O', 'Boris The Animal', ""Boris's Girlfriend"", 'Young Agent O', 'Andy Warhol', 'Jeffrey Price', 'Agent X', 'Mr. Wu', ""Colonel's Son"", 'Colonel', 'Downtown Hipster', 'Agent AA', 'Soldier (uncredited)', 'MIB Tech #1 (uncredited)']",
19,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",New Zealand,2014-12-10,Action,"['Bilbo Baggins', 'Gandalf', 'Thorin Oakenshield', 'Balin', 'Dwalin', 'Bifur', 'Bofur', 'Bombur', 'Fili', 'Kili', 'Oin', 'Gloin', 'Nori', 'Dori', 'Ori', 'Legolas', 'Tauriel', 'Thranduil', 'Galadriel', 'Elrond', 'Saruman', 'Old Bilbo', 'Beorn', 'Radagast', 'Bard', 'Master of Laketown', 'Bain', 'Alfrid', 'Sigrid', 'Tilda', 'Azog', 'Bolg', 'Dain', 'Smaug / Necromancer (voice)', 'Soury', 'Hilda Bianca', 'Percy', 'Feren', 'Keeper of the Dungeons', 'Ragash', 'Olga', 'Astrid']",
20,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",United States of America,2012-06-27,Action,"['Peter Parker / Spider-Man', 'Gwen Stacy', 'Dr. Curt Connors / The Lizard', 'Captain Stacy', 'Richard Parker', 'Rajit Ratha', 'Uncle Ben', 'Aunt May', 'Peter Parker (Age 4)', 'Flash Thompson', 'Mary Parker', 'Cash Register Thief', 'Missy Kallenback', 'Sally Avril', ""Jack's Father"", 'School Librarian', 'Man in the Shadows', 'Alfie (uncredited)', 'Helen Stacy', 'Philip Stacy', 'Howard Stacy', 'Simon Stacy', 'Jack', 'Mr. Cramer', 'Miss Ritter', ""Nicky's Girlfriend"", 'Store Clerk', 'Gordon', 'Physics Nerd', 'Physics Nerd', 'Nicky', 'Car Thief', 'Car Thief Cop', 'Police Officer', 'Officer (SWAT)', 'Newscaster (News Chopper)', 'Receptionist', 'OsCorp Intern', 'Rodrigo Guevara', 'Construction Worker', 'Taxi Driver', 'Police Officer with Sketch', 'Sheila (Subway)', 'Subway Guy', 'Principal', 'Second Girl (Subway)', 'Ariel', 'Gossip Girl (uncredited)', 'Science Teacher (uncredited)', 'Scientist (uncredited)', 'Lab Technician (uncredited)', 'Billy Connors (uncredited)', 'Cheerleader (uncredited)', 'Goth Girl (uncredited)', 'Tina (uncredited)', 'Pedestrian (uncredited)', 'Oscorp Intern (uncredited)']",
21,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",United Kingdom,2010-05-12,Action,"['Robin Longstride', 'Marion Loxley', 'Sir Walter Loxley', 'William Marshal', 'Godfrey', 'Prince John', 'King Richard the Lionheart', 'Eleanor of Aquitaine', 'Friar Tuck', 'Sheriff of Nottingham', 'Little John', 'Will Scarlet', ""Allan A'Dayle"", 'Sir Robert Loxley', 'Isabella of Angoulême', 'King Philip of France', 'Baron Baldwin', 'Baron Fitzrobert', 'Belvedere', 'Loop', 'Father Tancred', 'Stone Mason Longstride', 'Jimoen', 'Adhemar', ""Margaret - Walter's Maid"", 'Princess Isabel of Gloucester', 'Farmer Paul', 'Gaffer Tom', 'Village Mother', ""Sheriff's Thug"", 'Groom', 'Lady-in-Waiting', 'Northerner', 'Distinctive Man']",
22,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",New Zealand,2013-12-11,Adventure,"['Bilbo Baggins', 'Gandalf', 'Thorin Oakenshield', 'Balin', 'Dwalin', 'Bifur', 'Bofur', 'Bombur', 'Fili', 'Kili', 'Smaug / The Necromancer', 'Thranduil', 'Bard the Bowman', 'Tauriel', 'Legolas', 'Beorn', 'Azog', 'The Master of Laketown', 'Bain', 'Radagast', 'Goblin', 'Gloin', 'Galadriel', 'Laketown Spy', 'Nori', 'Hilda Blanca', 'Tilda', 'Sigrid', 'Dori', 'Oin', 'Ori', 'Narzug']",
23,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",United Kingdom,2007-12-04,Adventure,"['Lyra Belacqua', 'Marisa Coulter', 'Lord Asriel', 'Lee Scoresby', 'Serafina Pekkala', 'Pantalaimon (voice)', 'Iorek Byrnison (voice)', 'Roger Parslow', 'Ragnar Sturlusson (voice)', 'Stelmania (voice)', 'Hester (voice)', 'John Faa', 'Farder Coram', 'First High Councilor', 'Fra Pavel', 'Master', 'Mrs. Lonsdale', 'Magisterial Emissary', 'Ma Coster', 'Billy Costa', 'Tony Costa', 'Kerim Costa', 'Jaxer Costa', 'Sister Clara', 'Bolvangar Official', 'Second in Command', 'Gobbler', 'Gobbler', 'Witch']",
24,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",New Zealand,2005-12-14,Adventure,"['Ann Darrow', 'Carl Denham', 'Jack Driscoll', 'Captain Englehorn', 'Preston', 'Kong / Lumpy', 'Hayes', 'Jimmy', 'Choy', 'Herb', 'Mike', 'Bruce Baxter', 'Manny', 'Weston', 'Harry', 'Maude', 'Taps', 'Zelman', 'Thuggish Executive', 'Sleazy Executive', ""Studio Guy's Assistant"", 'Young Assistant', 'Fruit Vendor', 'Venture Crew', 'Venture Crew', 'Venture Crew', 'Venture Crew', 'Venture Crew', 'Venture Crew', 'Venture Crew', 'Venture Crew', 'Old Security Guard', 'Hooverville Child']",
25,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",United States of America,1997-11-18,Drama,"['Rose DeWitt Bukater', 'Jack Dawson', 'Ruth Dewitt Bukater', ""Caledon 'Cal' Hockley"", 'Molly Brown', 'Old Rose', 'Brock Lovett', 'Captain Edward James Smith', 'Spicer Lovejoy', 'Thomas Andrews', 'Bruce Ismay', 'Lizzy Calvert', 'Lewis Bodine', 'Bobby Buell', 'Fabrizio', 'Tommy Ryan', 'Isidor Straus', 'John Jacob Astor IV', 'Col. Archibald Gracie', '1st Officer Murdoch', 'Fifth Officer Lowe', '2nd Officer Lightoller', '6th Officer Moody', 'Frederick Fleet', 'Reginald Lee', 'Jack Phillips', 'Cora Cartmell', 'Slovakian 3 Year Old Boy', 'Benjamin Guggenheim', 'Anatoly Milkailavich', 'Slovakian Father', 'Chief Officer Wilde', 'Quartermaster Rowe', 'Quartermaster Hichens', 'Master at Arms', 'Madeleine Astor', 'Madame Aubert', 'Irish Mommy', 'Helga Dahl', '3rd Class Woman', 'Trudy Bolt', 'Sir Duff Gordon', 'Lady Duff Gordon', 'Countess of Rothes', 'Wallace Hartley', 'Irish Man', 'Bert Cartmell', 'Harold Bride', 'Chief Baker Joughin', '4th Officer Boxhall', 'Father Byles', 'Ida Strauss', 'Irish Little Boy', 'Irish Little Girl', 'Yaley', '1st Class Husband', 'Chief Engineer Bell', 'Leading Stoker Barrett', 'Carpenter John Hutchinson', 'Elevator Operator', 'Scotland Road Steward', 'Crewman', '1st Class Waiter', 'Steward #1', 'Steward #2', 'Steward #3', 'Steward #4', 'Hold Steward #1', 'Hold Steward #2', '1st Class Steward', 'Stairwell Steward', 'Steward Barnes', 'Porter', 'Porter', 'Olaf Dahl', 'Bjorn Gunderson', 'Olaus Gunderson', 'Praying Man', 'Man in Water', 'Mother at Stern', 'Woman', 'Woman in Water', 'Syrian Man', 'Syrian Woman', 'Chinese Man', 'Olaf', 'Sven', 'Pubkeeper', 'Carpathia Steward', 'News Reporter', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Noble Sailor', 'Tea Room Girl', '1st Class Woman', 'Musician / Baker', 'Steerage Dancer', '1st Class Man', 'Victor Giglio', 'Titanic Crewmember', '3rd Officer Pitman', 'Douglas Spedden', '1st Class Passenger / Praying Man', 'The Promenade Steward', 'Deckhand', 'Passenger', 'Waiter', '2nd Class Passenger', 'Seaman', 'Seaman', 'Leading Stroker Charles Hendrickson', '2nd Class Passenger', 'Rich Man', 'Frederick Spedden', 'Rescue Boat Crewman', '2nd Class Passenger / Engine Room Crewman', 'First Class Passenger', 'Engine Room Crewman', 'Engineering Officer', 'Button Accordionist', 'Praying Woman', 'Engine Room Crewman', 'Mary Marvin', 'Ohio Man', '1st Class Dining Room Steward', 'Drowning Man', 'Man Being Combed for Lice', 'Kissing Couple']",
26,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",United States of America,2016-04-27,Adventure,"['Steve Rogers / Captain America', 'Tony Stark / Iron Man', 'Natasha Romanoff / Black Widow', 'Bucky Barnes / Winter Soldier', 'Sam Wilson / Falcon', 'Lieutenant James Rhodes / War Machine', 'Clint Barton / Hawkeye', ""T'Challa / Black Panther"", 'Vision', 'Wanda Maximoff / Scarlet Witch', 'Scott Lang / Ant-Man', 'Sharon Carter', 'Peter Parker / Spider-Man', 'Brock Rumlow / Crossbones', 'Secretary of State Thaddeus Ross', 'Zemo', 'Howard Stark', 'Friday (voice)', 'Everett K. Ross', 'May Parker', ""King T'Chaka"", 'Maria Stark', 'Karpov', 'Ayo', 'Miriam', 'M.I.T. Liaison', 'FedEx Driver', 'Dr. Broussard', 'Hero Merc #1', 'MRI Tech', 'Vicar', 'Josef / Super Soldier #1', 'Super Soldier #2', 'Super Soldier #3', 'Super Soldier #4', 'Super Soldier #5', ""Zemo's Wife (voice)"", 'Attaché', 'Man at Kiosk', 'GSG9 Task Force Gunner', 'GSG9 Task Force Pilot', 'German Innkeeper', 'Raft Guard', 'Barge Man #1', 'Barge Man #2', 'Custodian', 'Funeral Director', 'Woman in Lobby #1', 'Woman in Lobby #2', 'Delivery Truck Driver', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Choir', 'Chinese Newscaster', 'German Newscaster #1', 'German Newscaster #2', 'News Reporter', 'Busboy (Lagos)', 'Waiter (Lagos)', ""Secretary Ross's Aide"", 'Hero Merc #2', 'Hero Merc #3', 'Hero Merc #4', 'Teenage Girl', 'UN Staffer Gibson', ""Stark's Assistant"", 'Nurse', 'Cultural Attaché', 'Helicopter Pilot', 'Helicopter Pilot', 'Helicopter Pilot', 'Auctioneer (uncredited)']",
27,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",United States of America,2012-04-11,Thriller,"['Lieutenant Alex Hopper', 'Commander Stone Hopper', ""Petty Officer Cora 'Weps' Raikes"", 'Sam', 'Captain Yugi Nagata', 'Admiral Shane', 'Lieutenant Colonel Mick Canales', 'Cal Zapata', 'Boatswain Mate Seaman Jimmy ""Ordy"" Ord', 'Chief Petty Officer Walter ""The Beast"" Lynch', 'Sampson JOOD Strodell', 'NASA Director', 'JPJ 2nd Gunner', 'Dr. Nogrady', 'Captain Browley', 'Chief Engineer Hiroki', 'JPJ OOD', 'JPJ Fireman', 'JPJ Scat', 'Electronic Warfare Supervisor', 'Chairman, Joint Chiefs of Staff', 'Air Force Chief of Staff', 'Watch Officer', 'Secretary of Defense', 'Bartender', 'JPJ Sailor', 'CIC Watch Supervisor', 'CIC Gunner', 'Combat Systems Coordinator', 'JPJ Port Gunner', 'British Newscaster', 'Spanish Newscaster', 'Japanese Newscaster', 'Jackie Johnson', ""Cal's Female Colleague"", 'Old Salt', 'JPJ XO Mullenaro', 'JPJ Helmsman', 'JPJ Starboard Gunner', 'JPJ BMOW', 'Regent Sea Commander', 'Myoko XO', 'JPJ Sailor', 'Sampson OOD', 'Sampson XO', 'Marine Commandant']",
